cluster,haselectricity
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
1,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
2,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
3,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
4,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
5,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
6,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
7,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
8,No
9,Yes
9,Yes
9,Yes
9,Yes
9,No
9,Yes
9,Yes
9,No
9,No
9,No
9,Yes
9,Yes
9,Yes
9,Yes
9,Yes
9,Yes
9,No
9,Yes
9,Yes
9,Yes
9,Yes
9,Yes
9,No
9,Yes
9,No
10,No
10,No
10,Yes
10,No
10,No
10,No
10,Yes
10,No
10,No
10,No
10,No
10,No
10,No
10,No
10,No
10,Yes
10,No
10,No
10,Yes
10,No
10,Yes
10,No
10,Yes
10,No
10,Yes
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
11,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
12,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
13,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
14,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
15,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
16,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
17,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
18,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
19,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
20,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,Yes
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
21,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
22,No
23,Yes
23,Yes
23,Yes
23,Yes
23,No
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,Yes
23,No
23,Yes
23,Yes
23,Yes
24,Yes
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
24,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,Yes
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
25,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
26,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
27,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
28,No
29,Yes
29,Yes
29,Yes
29,No
29,Yes
29,No
29,Yes
29,Yes
29,Yes
29,Yes
29,Yes
29,Yes
29,Yes
29,Yes
29,Yes
29,Yes
29,No
29,Yes
29,Yes
29,Yes
29,Yes
29,No
29,Yes
29,Yes
29,Yes
29,Yes
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
30,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
31,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
32,No
33,No
33,No
33,Yes
33,No
33,Yes
33,No
33,Yes
33,Yes
33,No
33,Yes
33,Yes
33,Yes
33,No
33,Yes
33,No
33,Yes
33,No
33,No
33,No
33,No
33,No
33,No
33,No
33,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
34,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
35,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
36,No
37,No
37,No
37,No
37,No
37,No
37,No
37,No
37,No
37,No
37,Yes
37,No
37,No
37,No
37,Yes
37,No
37,Yes
37,No
37,No
37,No
37,No
37,No
37,No
37,No
37,No
37,No
37,No
38,Yes
38,Yes
38,Yes
38,Yes
38,Yes
38,Yes
38,No
38,No
38,No
38,Yes
38,No
38,Yes
38,No
38,No
38,No
38,Yes
38,No
38,Yes
38,No
38,Yes
38,No
38,No
38,No
38,No
38,No
38,Yes
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
39,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
40,No
41,Yes
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
41,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
42,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
43,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
44,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
45,No
46,Yes
46,Yes
46,Yes
46,Yes
46,No
46,Yes
46,Yes
46,Yes
46,Yes
46,Yes
46,Yes
46,No
46,Yes
46,Yes
46,Yes
46,No
46,Yes
46,Yes
46,Yes
46,Yes
46,Yes
46,No
46,Yes
46,No
46,Yes
46,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
47,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,No
48,Yes
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
49,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
50,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
51,No
52,No
52,No
52,Yes
52,No
52,Yes
52,No
52,No
52,No
52,No
52,No
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
52,Yes
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
53,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
54,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
55,No
56,Yes
56,No
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,No
56,Yes
56,Yes
56,Yes
56,Yes
56,Yes
56,No
56,Yes
57,Yes
57,Yes
57,Yes
57,No
57,Yes
57,Yes
57,Yes
57,No
57,No
57,Yes
57,Yes
57,No
57,Yes
57,Yes
57,No
57,Yes
57,Yes
57,Yes
57,Yes
57,Yes
57,Yes
57,Yes
57,Yes
57,Yes
57,Yes
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
58,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
59,No
60,Yes
60,Yes
60,Yes
60,Yes
60,No
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,No
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
60,Yes
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
61,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
62,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
63,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
64,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,Yes
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
65,No
66,No
66,No
66,Yes
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
66,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
67,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
68,No
69,No
69,No
69,Yes
69,Yes
69,No
69,Yes
69,No
69,No
69,No
69,No
69,No
69,No
69,No
69,Yes
69,No
69,No
69,No
69,No
69,No
69,No
69,No
69,No
69,Yes
69,Yes
69,No
70,Yes
70,No
70,Yes
70,Yes
70,Yes
70,Yes
70,Yes
70,No
70,Yes
70,Yes
70,Yes
70,Yes
70,Yes
70,Yes
70,Yes
70,Yes
70,No
70,Yes
70,Yes
70,No
70,No
70,Yes
70,Yes
70,Yes
70,No
70,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
71,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
72,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
73,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
74,No
75,No
75,No
75,No
75,No
75,No
75,Yes
75,No
75,No
75,No
75,No
75,No
75,No
75,No
75,No
75,No
